Vessel.Name,Scheduled.Departure,Status,Trip,Trip.Duration,Day,Month,Day.of.Month,Year,Full.Date,Delay.Indicator
Skeena Queen,5:00 PM,On Time,Swartz Bay to Fulford Harbour (Saltspring Is.),35,Saturday,November,26,2016,26-Nov-16,0
Skeena Queen,7:00 PM,On Time,Swartz Bay to Fulford Harbour (Saltspring Is.),35,Saturday,November,26,2016,26-Nov-16,0
Skeena Queen,9:00 PM,On Time,Swartz Bay to Fulford Harbour (Saltspring Is.),35,Saturday,November,26,2016,26-Nov-16,0
Mayne Queen,5:40 AM,On Time,Swartz Bay to Southern Gulf Islands,NA,Saturday,November,26,2016,26-Nov-16,0
Queen of Cumberland,5:50 AM,On Time,Swartz Bay to Southern Gulf Islands,NA,Saturday,November,26,2016,26-Nov-16,0
Mayne Queen,8:15 AM,On Time,Swartz Bay to Southern Gulf Islands,NA,Saturday,November,26,2016,26-Nov-16,0
Queen of Cumberland,9:35 AM,On Time,Swartz Bay to Southern Gulf Islands,NA,Saturday,November,26,2016,26-Nov-16,0
Queen of Cumberland,2:30 PM,On Time,Swartz Bay to Southern Gulf Islands,NA,Saturday,November,26,2016,26-Nov-16,0
Mayne Queen,4:00 PM,On Time,Swartz Bay to Southern Gulf Islands,NA,Saturday,November,26,2016,26-Nov-16,0
Queen of Cumberland,6:35 PM,On Time,Swartz Bay to Southern Gulf Islands,NA,Saturday,November,26,2016,26-Nov-16,0
Mayne Queen,7:10 PM,On Time,Swartz Bay to Southern Gulf Islands,NA,Saturday,November,26,2016,26-Nov-16,0
Coastal Celebration,7:00 AM,On Time,Swartz Bay to Tsawwassen,95,Saturday,November,26,2016,26-Nov-16,0
Spirit of British Columbia,9:00 AM,On Time,Swartz Bay to Tsawwassen,95,Saturday,November,26,2016,26-Nov-16,0
Coastal Celebration,11:00 AM,On Time,Swartz Bay to Tsawwassen,95,Saturday,November,26,2016,26-Nov-16,0
Spirit of British Columbia,1:00 PM,On Time,Swartz Bay to Tsawwassen,95,Saturday,November,26,2016,26-Nov-16,0
Coastal Celebration,3:00 PM,On Time,Swartz Bay to Tsawwassen,95,Saturday,November,26,2016,26-Nov-16,0
Spirit of British Columbia,5:00 PM,On Time,Swartz Bay to Tsawwassen,95,Saturday,November,26,2016,26-Nov-16,0
Coastal Celebration,7:00 PM,On Time,Swartz Bay to Tsawwassen,95,Saturday,November,26,2016,26-Nov-16,0
Spirit of British Columbia,9:00 PM,On Time,Swartz Bay to Tsawwassen,95,Saturday,November,26,2016,26-Nov-16,0
Coastal Inspiration,5:15 AM,On Time,Duke Point to Tsawwassen,120,Saturday,November,26,2016,26-Nov-16,0
Queen of New Westminster,7:45 AM,On Time,Duke Point to Tsawwassen,120,Saturday,November,26,2016,26-Nov-16,0
Coastal Inspiration,10:15 AM,On Time,Duke Point to Tsawwassen,120,Saturday,November,26,2016,26-Nov-16,0
Queen of New Westminster,12:45 PM,On Time,Duke Point to Tsawwassen,120,Saturday,November,26,2016,26-Nov-16,0
Coastal Inspiration,3:15 PM,On Time,Duke Point to Tsawwassen,120,Saturday,November,26,2016,26-Nov-16,0
Queen of New Westminster,5:45 PM,On Time,Duke Point to Tsawwassen,120,Saturday,November,26,2016,26-Nov-16,0
Queen of Coquitlam,6:30 AM,On Time,Departure Bay to Horseshoe Bay,100,Saturday,November,26,2016,26-Nov-16,0
Queen of Oak Bay,8:30 AM,On Time,Departure Bay to Horseshoe Bay,100,Saturday,November,26,2016,26-Nov-16,0
Queen of Coquitlam,10:30 AM,On Time,Departure Bay to Horseshoe Bay,100,Saturday,November,26,2016,26-Nov-16,0
Queen of Oak Bay,12:30 PM,On Time,Departure Bay to Horseshoe Bay,100,Saturday,November,26,2016,26-Nov-16,0
Queen of Coquitlam,3:00 PM,On Time,Departure Bay to Horseshoe Bay,100,Saturday,November,26,2016,26-Nov-16,0
Queen of Oak Bay,5:00 PM,On Time,Departure Bay to Horseshoe Bay,100,Saturday,November,26,2016,26-Nov-16,0
Queen of Coquitlam,7:00 PM,On Time,Departure Bay to Horseshoe Bay,100,Saturday,November,26,2016,26-Nov-16,0
Queen of Oak Bay,9:00 PM,On Time,Departure Bay to Horseshoe Bay,100,Saturday,November,26,2016,26-Nov-16,0
Queen of Capilano,6:00 AM,On Time,Horseshoe Bay to Snug Cove (Bowen Is.),20,Saturday,November,26,2016,26-Nov-16,0
Queen of Capilano,8:00 AM,On Time,Horseshoe Bay to Snug Cove (Bowen Is.),20,Saturday,November,26,2016,26-Nov-16,0
Queen of Capilano,9:00 AM,On Time,Horseshoe Bay to Snug Cove (Bowen Is.),20,Saturday,November,26,2016,26-Nov-16,0
Queen of Capilano,10:00 AM,On Time,Horseshoe Bay to Snug Cove (Bowen Is.),20,Saturday,November,26,2016,26-Nov-16,0
Queen of Capilano,11:00 AM,On Time,Horseshoe Bay to Snug Cove (Bowen Is.),20,Saturday,November,26,2016,26-Nov-16,0
Queen of Capilano,12:00 PM,On Time,Horseshoe Bay to Snug Cove (Bowen Is.),20,Saturday,November,26,2016,26-Nov-16,0
Queen of Capilano,2:25 PM,On Time,Horseshoe Bay to Snug Cove (Bowen Is.),20,Saturday,November,26,2016,26-Nov-16,0
Queen of Capilano,3:30 PM,On Time,Horseshoe Bay to Snug Cove (Bowen Is.),20,Saturday,November,26,2016,26-Nov-16,0
Queen of Capilano,4:30 PM,On Time,Horseshoe Bay to Snug Cove (Bowen Is.),20,Saturday,November,26,2016,26-Nov-16,0
Queen of Capilano,5:30 PM,On Time,Horseshoe Bay to Snug Cove (Bowen Is.),20,Saturday,November,26,2016,26-Nov-16,0
Queen of Capilano,6:30 PM,On Time,Horseshoe Bay to Snug Cove (Bowen Is.),20,Saturday,November,26,2016,26-Nov-16,0
Queen of Capilano,8:30 PM,On Time,Horseshoe Bay to Snug Cove (Bowen Is.),20,Saturday,November,26,2016,26-Nov-16,0
Queen of Capilano,9:30 PM,On Time,Horseshoe Bay to Snug Cove (Bowen Is.),20,Saturday,November,26,2016,26-Nov-16,0
Queen of Oak Bay,6:30 AM,On Time,Horseshoe Bay to Departure Bay,100,Saturday,November,26,2016,26-Nov-16,0
Queen of Coquitlam,8:30 AM,On Time,Horseshoe Bay to Departure Bay,100,Saturday,November,26,2016,26-Nov-16,0
Queen of Oak Bay,10:30 AM,On Time,Horseshoe Bay to Departure Bay,100,Saturday,November,26,2016,26-Nov-16,0
Queen of Coquitlam,12:30 PM,On Time,Horseshoe Bay to Departure Bay,100,Saturday,November,26,2016,26-Nov-16,0
Queen of Oak Bay,3:00 PM,On Time,Horseshoe Bay to Departure Bay,100,Saturday,November,26,2016,26-Nov-16,0
Queen of Coquitlam,5:00 PM,On Time,Horseshoe Bay to Departure Bay,100,Saturday,November,26,2016,26-Nov-16,0
Queen of Oak Bay,7:00 PM,On Time,Horseshoe Bay to Departure Bay,100,Saturday,November,26,2016,26-Nov-16,0
Queen of Coquitlam,9:00 PM,On Time,Horseshoe Bay to Departure Bay,100,Saturday,November,26,2016,26-Nov-16,0
Queen of Surrey,7:20 AM,On Time,Horseshoe Bay to Langdale,40,Saturday,November,26,2016,26-Nov-16,0
Queen of Surrey,9:20 AM,On Time,Horseshoe Bay to Langdale,40,Saturday,November,26,2016,26-Nov-16,0
Queen of Surrey,11:20 AM,On Time,Horseshoe Bay to Langdale,40,Saturday,November,26,2016,26-Nov-16,0
Queen of Surrey,1:20 PM,On Time,Horseshoe Bay to Langdale,40,Saturday,November,26,2016,26-Nov-16,0
Queen of Surrey,3:30 PM,On Time,Horseshoe Bay to Langdale,40,Saturday,November,26,2016,26-Nov-16,0
Queen of Surrey,5:30 PM,On Time,Horseshoe Bay to Langdale,40,Saturday,November,26,2016,26-Nov-16,0
Queen of Surrey,7:25 PM,On Time,Horseshoe Bay to Langdale,40,Saturday,November,26,2016,26-Nov-16,0
Queen of Surrey,9:15 PM,On Time,Horseshoe Bay to Langdale,40,Saturday,November,26,2016,26-Nov-16,0
Queen of Surrey,6:20 AM,On Time,Langdale to Horseshoe Bay,40,Saturday,November,26,2016,26-Nov-16,0
Queen of Surrey,8:20 AM,On Time,Langdale to Horseshoe Bay,40,Saturday,November,26,2016,26-Nov-16,0
Queen of Surrey,10:20 AM,On Time,Langdale to Horseshoe Bay,40,Saturday,November,26,2016,26-Nov-16,0
Queen of Surrey,12:20 PM,On Time,Langdale to Horseshoe Bay,40,Saturday,November,26,2016,26-Nov-16,0
Queen of Surrey,2:30 PM,On Time,Langdale to Horseshoe Bay,40,Saturday,November,26,2016,26-Nov-16,0
Queen of Surrey,4:30 PM,On Time,Langdale to Horseshoe Bay,40,Saturday,November,26,2016,26-Nov-16,0
Queen of Surrey,6:30 PM,On Time,Langdale to Horseshoe Bay,40,Saturday,November,26,2016,26-Nov-16,0
Queen of Surrey,8:20 PM,On Time,Langdale to Horseshoe Bay,40,Saturday,November,26,2016,26-Nov-16,0
Spirit of British Columbia,7:00 AM,On Time,Tsawwassen to Swartz Bay,95,Sunday,November,27,2016,27-Nov-16,0
Coastal Celebration,9:00 AM,On Time,Tsawwassen to Swartz Bay,95,Sunday,November,27,2016,27-Nov-16,0
Spirit of British Columbia,11:00 AM,On Time,Tsawwassen to Swartz Bay,95,Sunday,November,27,2016,27-Nov-16,0
Coastal Celebration,1:00 PM,On Time,Tsawwassen to Swartz Bay,95,Sunday,November,27,2016,27-Nov-16,0
Spirit of Vancouver Island,2:00 PM,On Time,Tsawwassen to Swartz Bay,95,Sunday,November,27,2016,27-Nov-16,0
Spirit of British Columbia,3:00 PM,Mechanical difficulties with vessel,Tsawwassen to Swartz Bay,95,Sunday,November,27,2016,27-Nov-16,1
Coastal Celebration,5:00 PM,On Time,Tsawwassen to Swartz Bay,95,Sunday,November,27,2016,27-Nov-16,0
Spirit of Vancouver Island,6:00 PM,On Time,Tsawwassen to Swartz Bay,95,Sunday,November,27,2016,27-Nov-16,0
Spirit of British Columbia,7:00 PM,Mechanical difficulties with vessel,Tsawwassen to Swartz Bay,95,Sunday,November,27,2016,27-Nov-16,1
Coastal Celebration,9:00 PM,On Time,Tsawwassen to Swartz Bay,95,Sunday,November,27,2016,27-Nov-16,0
Queen of Nanaimo,11:10 AM,On Time,Tsawwassen to Southern Gulf Islands,NA,Sunday,November,27,2016,27-Nov-16,0
Queen of Nanaimo,6:40 PM,On Time,Tsawwassen to Southern Gulf Islands,NA,Sunday,November,27,2016,27-Nov-16,0
Queen of Nanaimo,9:35 PM,On Time,Tsawwassen to Southern Gulf Islands,NA,Sunday,November,27,2016,27-Nov-16,0
Queen of New Westminster,10:15 AM,On Time,Tsawwassen to Duke Point,120,Sunday,November,27,2016,27-Nov-16,0
Coastal Inspiration,12:45 PM,Unknown,Tsawwassen to Duke Point,120,Sunday,November,27,2016,27-Nov-16,1
Queen of New Westminster,3:15 PM,On Time,Tsawwassen to Duke Point,120,Sunday,November,27,2016,27-Nov-16,0
Coastal Inspiration,5:45 PM,Operational delay,Tsawwassen to Duke Point,120,Sunday,November,27,2016,27-Nov-16,1
Queen of New Westminster,8:15 PM,On Time,Tsawwassen to Duke Point,120,Sunday,November,27,2016,27-Nov-16,0
Coastal Inspiration,10:45 PM,Unknown,Tsawwassen to Duke Point,120,Sunday,November,27,2016,27-Nov-16,1
Skeena Queen,9:00 AM,On Time,Swartz Bay to Fulford Harbour (Saltspring Is.),35,Sunday,November,27,2016,27-Nov-16,0
Skeena Queen,11:00 AM,On Time,Swartz Bay to Fulford Harbour (Saltspring Is.),35,Sunday,November,27,2016,27-Nov-16,0
Skeena Queen,1:00 PM,On Time,Swartz Bay to Fulford Harbour (Saltspring Is.),35,Sunday,November,27,2016,27-Nov-16,0
Skeena Queen,3:00 PM,On Time,Swartz Bay to Fulford Harbour (Saltspring Is.),35,Sunday,November,27,2016,27-Nov-16,0
Skeena Queen,5:00 PM,On Time,Swartz Bay to Fulford Harbour (Saltspring Is.),35,Sunday,November,27,2016,27-Nov-16,0
Skeena Queen,7:00 PM,On Time,Swartz Bay to Fulford Harbour (Saltspring Is.),35,Sunday,November,27,2016,27-Nov-16,0
Skeena Queen,9:00 PM,On Time,Swartz Bay to Fulford Harbour (Saltspring Is.),35,Sunday,November,27,2016,27-Nov-16,0
Mayne Queen,6:00 AM,On Time,Swartz Bay to Southern Gulf Islands,NA,Sunday,November,27,2016,27-Nov-16,0
Queen of Cumberland,6:25 AM,On Time,Swartz Bay to Southern Gulf Islands,NA,Sunday,November,27,2016,27-Nov-16,0
Queen of Cumberland,9:35 AM,On Time,Swartz Bay to Southern Gulf Islands,NA,Sunday,November,27,2016,27-Nov-16,0
Mayne Queen,2:15 PM,On Time,Swartz Bay to Southern Gulf Islands,NA,Sunday,November,27,2016,27-Nov-16,0
Queen of Cumberland,2:40 PM,On Time,Swartz Bay to Southern Gulf Islands,NA,Sunday,November,27,2016,27-Nov-16,0
Mayne Queen,5:25 PM,On Time,Swartz Bay to Southern Gulf Islands,NA,Sunday,November,27,2016,27-Nov-16,0
Queen of Cumberland,6:25 PM,On Time,Swartz Bay to Southern Gulf Islands,NA,Sunday,November,27,2016,27-Nov-16,0
Mayne Queen,7:10 PM,On Time,Swartz Bay to Southern Gulf Islands,NA,Sunday,November,27,2016,27-Nov-16,0
Coastal Celebration,7:00 AM,On Time,Swartz Bay to Tsawwassen,95,Sunday,November,27,2016,27-Nov-16,0
Spirit of British Columbia,9:00 AM,On Time,Swartz Bay to Tsawwassen,95,Sunday,November,27,2016,27-Nov-16,0
Coastal Celebration,11:00 AM,On Time,Swartz Bay to Tsawwassen,95,Sunday,November,27,2016,27-Nov-16,0
Spirit of Vancouver Island,12:00 PM,On Time,Swartz Bay to Tsawwassen,95,Sunday,November,27,2016,27-Nov-16,0
Spirit of British Columbia,1:00 PM,On Time,Swartz Bay to Tsawwassen,95,Sunday,November,27,2016,27-Nov-16,0
Coastal Celebration,3:00 PM,On Time,Swartz Bay to Tsawwassen,95,Sunday,November,27,2016,27-Nov-16,0
Spirit of Vancouver Island,4:00 PM,On Time,Swartz Bay to Tsawwassen,95,Sunday,November,27,2016,27-Nov-16,0
Spirit of British Columbia,5:00 PM,Mechanical difficulties with vessel,Swartz Bay to Tsawwassen,95,Sunday,November,27,2016,27-Nov-16,1
Coastal Celebration,7:00 PM,On Time,Swartz Bay to Tsawwassen,95,Sunday,November,27,2016,27-Nov-16,0
Spirit of British Columbia,9:00 PM,Mechanical difficulties with vessel,Swartz Bay to Tsawwassen,95,Sunday,November,27,2016,27-Nov-16,1
Coastal Inspiration,10:15 AM,On Time,Duke Point to Tsawwassen,120,Sunday,November,27,2016,27-Nov-16,0
Queen of New Westminster,12:45 PM,On Time,Duke Point to Tsawwassen,120,Sunday,November,27,2016,27-Nov-16,0
Coastal Inspiration,3:15 PM,Operational delay,Duke Point to Tsawwassen,120,Sunday,November,27,2016,27-Nov-16,1
Queen of New Westminster,5:45 PM,On Time,Duke Point to Tsawwassen,120,Sunday,November,27,2016,27-Nov-16,0
Coastal Inspiration,8:15 PM,Operational delay,Duke Point to Tsawwassen,120,Sunday,November,27,2016,27-Nov-16,1
Queen of New Westminster,10:45 PM,On Time,Duke Point to Tsawwassen,120,Sunday,November,27,2016,27-Nov-16,0
Queen of Coquitlam,6:30 AM,On Time,Departure Bay to Horseshoe Bay,100,Sunday,November,27,2016,27-Nov-16,0
Queen of Oak Bay,8:30 AM,On Time,Departure Bay to Horseshoe Bay,100,Sunday,November,27,2016,27-Nov-16,0
Queen of Coquitlam,10:30 AM,On Time,Departure Bay to Horseshoe Bay,100,Sunday,November,27,2016,27-Nov-16,0
Queen of Oak Bay,12:30 PM,Traffic delays,Departure Bay to Horseshoe Bay,100,Sunday,November,27,2016,27-Nov-16,1
Queen of Coquitlam,3:00 PM,On Time,Departure Bay to Horseshoe Bay,100,Sunday,November,27,2016,27-Nov-16,0
Queen of Oak Bay,5:00 PM,Stalled vehicle on car deck,Departure Bay to Horseshoe Bay,100,Sunday,November,27,2016,27-Nov-16,1
Queen of Coquitlam,7:00 PM,On Time,Departure Bay to Horseshoe Bay,100,Sunday,November,27,2016,27-Nov-16,0
Queen of Oak Bay,9:00 PM,Operational delay,Departure Bay to Horseshoe Bay,100,Sunday,November,27,2016,27-Nov-16,1
Queen of Capilano,6:00 AM,On Time,Horseshoe Bay to Snug Cove (Bowen Is.),20,Sunday,November,27,2016,27-Nov-16,0
Queen of Capilano,8:00 AM,Operational Delay,Horseshoe Bay to Snug Cove (Bowen Is.),20,Sunday,November,27,2016,27-Nov-16,1
Queen of Capilano,10:00 AM,On Time,Horseshoe Bay to Snug Cove (Bowen Is.),20,Sunday,November,27,2016,27-Nov-16,0
Queen of Capilano,11:00 AM,On Time,Horseshoe Bay to Snug Cove (Bowen Is.),20,Sunday,November,27,2016,27-Nov-16,0
Queen of Capilano,12:00 PM,On Time,Horseshoe Bay to Snug Cove (Bowen Is.),20,Sunday,November,27,2016,27-Nov-16,0
Queen of Capilano,2:25 PM,On Time,Horseshoe Bay to Snug Cove (Bowen Is.),20,Sunday,November,27,2016,27-Nov-16,0
Queen of Capilano,3:30 PM,On Time,Horseshoe Bay to Snug Cove (Bowen Is.),20,Sunday,November,27,2016,27-Nov-16,0
Queen of Capilano,4:30 PM,On Time,Horseshoe Bay to Snug Cove (Bowen Is.),20,Sunday,November,27,2016,27-Nov-16,0
Queen of Capilano,5:30 PM,On Time,Horseshoe Bay to Snug Cove (Bowen Is.),20,Sunday,November,27,2016,27-Nov-16,0
Queen of Capilano,6:30 PM,On Time,Horseshoe Bay to Snug Cove (Bowen Is.),20,Sunday,November,27,2016,27-Nov-16,0
Queen of Capilano,7:30 PM,On Time,Horseshoe Bay to Snug Cove (Bowen Is.),20,Sunday,November,27,2016,27-Nov-16,0
Queen of Capilano,9:30 PM,On Time,Horseshoe Bay to Snug Cove (Bowen Is.),20,Sunday,November,27,2016,27-Nov-16,0
Queen of Oak Bay,6:30 AM,On Time,Horseshoe Bay to Departure Bay,100,Sunday,November,27,2016,27-Nov-16,0
Queen of Coquitlam,8:30 AM,On Time,Horseshoe Bay to Departure Bay,100,Sunday,November,27,2016,27-Nov-16,0
Queen of Oak Bay,10:30 AM,On Time,Horseshoe Bay to Departure Bay,100,Sunday,November,27,2016,27-Nov-16,0
Queen of Coquitlam,12:30 PM,On Time,Horseshoe Bay to Departure Bay,100,Sunday,November,27,2016,27-Nov-16,0
Queen of Oak Bay,3:00 PM,On Time,Horseshoe Bay to Departure Bay,100,Sunday,November,27,2016,27-Nov-16,0
Queen of Coquitlam,5:00 PM,On Time,Horseshoe Bay to Departure Bay,100,Sunday,November,27,2016,27-Nov-16,0
Queen of Oak Bay,7:00 PM,Operational delay,Horseshoe Bay to Departure Bay,100,Sunday,November,27,2016,27-Nov-16,1
Queen of Coquitlam,9:00 PM,On Time,Horseshoe Bay to Departure Bay,100,Sunday,November,27,2016,27-Nov-16,0
Queen of Surrey,7:20 AM,On Time,Horseshoe Bay to Langdale,40,Sunday,November,27,2016,27-Nov-16,0
Queen of Surrey,9:20 AM,On Time,Horseshoe Bay to Langdale,40,Sunday,November,27,2016,27-Nov-16,0
Queen of Surrey,11:20 AM,On Time,Horseshoe Bay to Langdale,40,Sunday,November,27,2016,27-Nov-16,0
Queen of Surrey,1:20 PM,On Time,Horseshoe Bay to Langdale,40,Sunday,November,27,2016,27-Nov-16,0
Queen of Surrey,3:30 PM,Traffic delays,Horseshoe Bay to Langdale,40,Sunday,November,27,2016,27-Nov-16,1
Queen of Surrey,5:30 PM,Traffic delays,Horseshoe Bay to Langdale,40,Sunday,November,27,2016,27-Nov-16,1
Queen of Surrey,7:25 PM,Traffic delays,Horseshoe Bay to Langdale,40,Sunday,November,27,2016,27-Nov-16,1
Queen of Surrey,9:15 PM,Traffic delays,Horseshoe Bay to Langdale,40,Sunday,November,27,2016,27-Nov-16,1
Queen of Surrey,6:20 AM,On Time,Langdale to Horseshoe Bay,40,Sunday,November,27,2016,27-Nov-16,0
Queen of Surrey,8:20 AM,On Time,Langdale to Horseshoe Bay,40,Sunday,November,27,2016,27-Nov-16,0
Queen of Surrey,10:20 AM,On Time,Langdale to Horseshoe Bay,40,Sunday,November,27,2016,27-Nov-16,0
Queen of Surrey,12:20 PM,On Time,Langdale to Horseshoe Bay,40,Sunday,November,27,2016,27-Nov-16,0
Queen of Surrey,2:30 PM,On Time,Langdale to Horseshoe Bay,40,Sunday,November,27,2016,27-Nov-16,0
Queen of Surrey,4:30 PM,Traffic delays,Langdale to Horseshoe Bay,40,Sunday,November,27,2016,27-Nov-16,1
Queen of Surrey,6:30 PM,Traffic delays,Langdale to Horseshoe Bay,40,Sunday,November,27,2016,27-Nov-16,1
Queen of Surrey,8:20 PM,Traffic delays,Langdale to Horseshoe Bay,40,Sunday,November,27,2016,27-Nov-16,1
Spirit of British Columbia,7:00 AM,On Time,Tsawwassen to Swartz Bay,95,Monday,November,28,2016,28-Nov-16,0
Coastal Celebration,9:00 AM,On Time,Tsawwassen to Swartz Bay,95,Monday,November,28,2016,28-Nov-16,0
Spirit of British Columbia,11:00 AM,On Time,Tsawwassen to Swartz Bay,95,Monday,November,28,2016,28-Nov-16,0
Coastal Celebration,1:00 PM,On Time,Tsawwassen to Swartz Bay,95,Monday,November,28,2016,28-Nov-16,0
Spirit of British Columbia,3:00 PM,On Time,Tsawwassen to Swartz Bay,95,Monday,November,28,2016,28-Nov-16,0
Coastal Celebration,5:00 PM,On Time,Tsawwassen to Swartz Bay,95,Monday,November,28,2016,28-Nov-16,0
Spirit of British Columbia,7:00 PM,On Time,Tsawwassen to Swartz Bay,95,Monday,November,28,2016,28-Nov-16,0
Coastal Celebration,9:00 PM,On Time,Tsawwassen to Swartz Bay,95,Monday,November,28,2016,28-Nov-16,0
Queen of Nanaimo,10:10 AM,On Time,Tsawwassen to Southern Gulf Islands,NA,Monday,November,28,2016,28-Nov-16,0
Queen of Nanaimo,7:20 PM,On Time,Tsawwassen to Southern Gulf Islands,NA,Monday,November,28,2016,28-Nov-16,0
Queen of New Westminster,5:15 AM,On Time,Tsawwassen to Duke Point,120,Monday,November,28,2016,28-Nov-16,0
Coastal Inspiration,7:45 AM,On Time,Tsawwassen to Duke Point,120,Monday,November,28,2016,28-Nov-16,0
Queen of New Westminster,10:15 AM,On Time,Tsawwassen to Duke Point,120,Monday,November,28,2016,28-Nov-16,0
Coastal Inspiration,12:45 PM,On Time,Tsawwassen to Duke Point,120,Monday,November,28,2016,28-Nov-16,0
Queen of New Westminster,3:15 PM,On Time,Tsawwassen to Duke Point,120,Monday,November,28,2016,28-Nov-16,0
Coastal Inspiration,5:45 PM,On Time,Tsawwassen to Duke Point,120,Monday,November,28,2016,28-Nov-16,0
Queen of New Westminster,8:15 PM,Operational Delay,Tsawwassen to Duke Point,120,Monday,November,28,2016,28-Nov-16,1
Coastal Inspiration,10:45 PM,On Time,Tsawwassen to Duke Point,120,Monday,November,28,2016,28-Nov-16,0
Skeena Queen,7:00 AM,On Time,Swartz Bay to Fulford Harbour (Saltspring Is.),35,Monday,November,28,2016,28-Nov-16,0
Skeena Queen,9:00 AM,On Time,Swartz Bay to Fulford Harbour (Saltspring Is.),35,Monday,November,28,2016,28-Nov-16,0
Skeena Queen,11:00 AM,On Time,Swartz Bay to Fulford Harbour (Saltspring Is.),35,Monday,November,28,2016,28-Nov-16,0
Skeena Queen,1:00 PM,On Time,Swartz Bay to Fulford Harbour (Saltspring Is.),35,Monday,November,28,2016,28-Nov-16,0
Skeena Queen,3:00 PM,On Time,Swartz Bay to Fulford Harbour (Saltspring Is.),35,Monday,November,28,2016,28-Nov-16,0
Skeena Queen,5:00 PM,On Time,Swartz Bay to Fulford Harbour (Saltspring Is.),35,Monday,November,28,2016,28-Nov-16,0
Skeena Queen,7:00 PM,On Time,Swartz Bay to Fulford Harbour (Saltspring Is.),35,Monday,November,28,2016,28-Nov-16,0
Skeena Queen,9:00 PM,On Time,Swartz Bay to Fulford Harbour (Saltspring Is.),35,Monday,November,28,2016,28-Nov-16,0
Mayne Queen,5:10 AM,On Time,Swartz Bay to Southern Gulf Islands,NA,Monday,November,28,2016,28-Nov-16,0
Queen of Cumberland,5:20 AM,On Time,Swartz Bay to Southern Gulf Islands,NA,Monday,November,28,2016,28-Nov-16,0
Queen of Cumberland,8:30 AM,On Time,Swartz Bay to Southern Gulf Islands,NA,Monday,November,28,2016,28-Nov-16,0
Mayne Queen,9:10 AM,On Time,Swartz Bay to Southern Gulf Islands,NA,Monday,November,28,2016,28-Nov-16,0
Queen of Cumberland,10:25 AM,On Time,Swartz Bay to Southern Gulf Islands,NA,Monday,November,28,2016,28-Nov-16,0
Queen of Cumberland,2:15 PM,On Time,Swartz Bay to Southern Gulf Islands,NA,Monday,November,28,2016,28-Nov-16,0
Mayne Queen,2:50 PM,On Time,Swartz Bay to Southern Gulf Islands,NA,Monday,November,28,2016,28-Nov-16,0
