vessel_name,full_date,scheduled_departure,avg_temperature,avg_dew_point,avg_relative_humidity_in_percent,delay_indicator
Queen of New Westminster,2016/11/29,12:45:00,7.2,5.8,91,0
Coastal Celebration,2016/11/29,13:00:00,7.35,6,91.5,0
Queen of Surrey,2016/11/29,14:30:00,7.45,6.05,91,0
Coastal Inspiration,2016/11/29,15:15:00,7.5,6.05,91,0
Queen of New Westminster,2016/11/29,15:15:00,7.5,6.05,91,0
Spirit of British Columbia,2016/11/29,15:00:00,7.5,6.05,91,0
Queen of Coquitlam,2016/11/29,15:00:00,7.5,6.05,91,0
Queen of Surrey,2016/11/29,16:30:00,7.6,6,90,0
Coastal Inspiration,2016/11/29,17:45:00,7.65,6,89.5,0
Coastal Celebration,2016/11/29,17:00:00,7.65,6,89.5,0
Queen of New Westminster,2016/11/29,17:45:00,7.65,6,89.5,0
Queen of Oak Bay,2016/11/29,17:00:00,7.65,6,89.5,0
Queen of Surrey,2016/11/29,18:30:00,7.8,6.15,89.5,0
Spirit of British Columbia,2016/11/29,19:00:00,7.85,6.05,88.5,0
Queen of imo,2016/11/29,19:20:00,7.85,6.05,88.5,0
Queen of Surrey,2016/11/29,20:20:00,7.8,5.85,87.5,0
Queen of New Westminster,2016/11/29,20:15:00,7.8,5.85,87.5,0
Coastal Inspiration,2016/11/29,20:15:00,7.8,5.85,87.5,0
Queen of Oak Bay,2016/11/29,21:00:00,7.95,5.6,85,0
Coastal Celebration,2016/11/29,21:00:00,7.95,5.6,85,0
Queen of New Westminster,2016/11/29,22:45:00,8,5.45,84,0
Coastal Inspiration,2016/11/29,22:45:00,8,5.45,84,0
Queen of New Westminster,2016/11/30,5:15:00,7.4,5.9,90.5,0
Coastal Inspiration,2016/11/30,5:15:00,7.4,5.9,90.5,0
Queen of Surrey,2016/11/30,6:20:00,7.45,6.25,92.5,0
Queen of Coquitlam,2016/11/30,6:30:00,7.45,6.25,92.5,0
Spirit of British Columbia,2016/11/30,7:00:00,7.55,6.45,93,0
Queen of New Westminster,2016/11/30,7:45:00,7.55,6.45,93,0
Coastal Inspiration,2016/11/30,7:45:00,7.55,6.45,93,1
Queen of Oak Bay,2016/11/30,8:30:00,7.6,6.5,93,0
Queen of Surrey,2016/11/30,8:20:00,7.6,6.5,93,0
Coastal Celebration,2016/11/30,9:00:00,7.5,6.3,92,0
Coastal Inspiration,2016/11/30,10:15:00,7.45,5.75,89,0
Queen of imo,2016/11/30,10:10:00,7.45,5.75,89,0
Queen of New Westminster,2016/11/30,10:15:00,7.45,5.75,89,0
Queen of Coquitlam,2016/11/30,10:30:00,7.45,5.75,89,0
Queen of Surrey,2016/11/30,10:20:00,7.45,5.75,89,1
Spirit of British Columbia,2016/11/30,11:00:00,7.65,5.3,85.5,0
Queen of New Westminster,2016/11/30,12:45:00,7.6,5.6,87.5,0
Queen of Oak Bay,2016/11/30,12:30:00,7.6,5.6,87.5,0
Queen of Surrey,2016/11/30,12:20:00,7.6,5.6,87.5,0
Coastal Inspiration,2016/11/30,12:45:00,7.6,5.6,87.5,0
Coastal Celebration,2016/11/30,13:00:00,7.75,5.75,87.5,1
Queen of Surrey,2016/11/30,14:30:00,8.05,5.55,84.5,0
Spirit of British Columbia,2016/11/30,15:00:00,8,5.55,84.5,0
Queen of New Westminster,2016/11/30,15:15:00,8,5.55,84.5,0
Coastal Inspiration,2016/11/30,15:15:00,8,5.55,84.5,0
Queen of Coquitlam,2016/11/30,15:00:00,8,5.55,84.5,0
Queen of Surrey,2016/11/30,16:30:00,8,5.3,83,0
Coastal Celebration,2016/11/30,17:00:00,7.55,5.35,86,1
Coastal Inspiration,2016/11/30,17:45:00,7.55,5.35,86,1
Queen of New Westminster,2016/11/30,17:45:00,7.55,5.35,86,0
Queen of Oak Bay,2016/11/30,17:00:00,7.55,5.35,86,0
Queen of Surrey,2016/11/30,18:30:00,6.55,5.15,90.5,0
Spirit of British Columbia,2016/11/30,19:00:00,5.7,4.7,93,0
Queen of imo,2016/11/30,19:20:00,5.7,4.7,93,0
Coastal Inspiration,2016/11/30,20:15:00,5.25,4.6,95.5,1
Queen of New Westminster,2016/11/30,20:15:00,5.25,4.6,95.5,0
Queen of Surrey,2016/11/30,20:20:00,5.25,4.6,95.5,0
Coastal Celebration,2016/11/30,21:00:00,5.2,4.55,95.5,0
Queen of Oak Bay,2016/11/30,21:00:00,5.2,4.55,95.5,1
Queen of New Westminster,2016/11/30,22:45:00,4.85,4.1,94.5,0
Coastal Inspiration,2016/11/30,22:45:00,4.85,4.1,94.5,0
Queen of New Westminster,2016/12/1,5:15:00,3.6,3.05,96,0
Coastal Inspiration,2016/12/1,5:15:00,3.6,3.05,96,0
Queen of Surrey,2016/12/1,6:20:00,3.9,3.45,96.5,0
Queen of Coquitlam,2016/12/1,6:30:00,3.9,3.45,96.5,0
Queen of New Westminster,2016/12/1,7:45:00,3.45,2.95,96.5,0
Spirit of British Columbia,2016/12/1,7:00:00,3.45,2.95,96.5,0
Coastal Inspiration,2016/12/1,7:45:00,3.45,2.95,96.5,0
Queen of Oak Bay,2016/12/1,8:30:00,4.4,3.35,93,0
Queen of Surrey,2016/12/1,8:20:00,4.4,3.35,93,0
Coastal Celebration,2016/12/1,9:00:00,5.35,4,91,0
Coastal Inspiration,2016/12/1,10:15:00,5.2,4,92,0
Queen of Coquitlam,2016/12/1,10:30:00,5.2,4,92,0
Queen of Surrey,2016/12/1,10:20:00,5.2,4,92,0
Queen of imo,2016/12/1,10:10:00,5.2,4,92,0
Queen of New Westminster,2016/12/1,10:15:00,5.2,4,92,0
Spirit of British Columbia,2016/12/1,11:00:00,6.1,4.6,90,0
Queen of New Westminster,2016/12/1,12:45:00,7,5,87,0
Coastal Inspiration,2016/12/1,12:45:00,7,5,87,0
Queen of Oak Bay,2016/12/1,12:30:00,7,5,87,0
Queen of Surrey,2016/12/1,12:20:00,7,5,87,0
Coastal Celebration,2016/12/1,13:00:00,7.35,5.25,86.5,0
Queen of Surrey,2016/12/1,14:30:00,7.2,5.4,88.5,0
Queen of New Westminster,2016/12/1,15:15:00,6.95,5.5,91,0
Coastal Inspiration,2016/12/1,15:15:00,6.95,5.5,91,0
Queen of Coquitlam,2016/12/1,15:00:00,6.95,5.5,91,0
Spirit of British Columbia,2016/12/1,15:00:00,6.95,5.5,91,0
Queen of Surrey,2016/12/1,16:30:00,6.55,5.05,90.5,0
Queen of New Westminster,2016/12/1,17:45:00,6.35,4.65,89,0
Queen of Oak Bay,2016/12/1,17:00:00,6.35,4.65,89,0
Coastal Inspiration,2016/12/1,17:45:00,6.35,4.65,89,0
Coastal Celebration,2016/12/1,17:00:00,6.35,4.65,89,0
Spirit of Vancouver Island,2016/12/1,18:00:00,6.55,4.7,88,0
Queen of Surrey,2016/12/1,18:30:00,6.55,4.7,88,0
Queen of imo,2016/12/1,19:20:00,6.55,4.9,89.5,0
Spirit of British Columbia,2016/12/1,19:00:00,6.55,4.9,89.5,0
Coastal Inspiration,2016/12/1,20:15:00,6.2,5.1,93,0
Queen of New Westminster,2016/12/1,20:15:00,6.2,5.1,93,0
Queen of Surrey,2016/12/1,20:20:00,6.2,5.1,93,0
Queen of Oak Bay,2016/12/1,21:00:00,6.1,5.25,94,0
Coastal Celebration,2016/12/1,21:00:00,6.1,5.25,94,0
Coastal Inspiration,2016/12/1,22:45:00,6.05,5.3,94.5,0
Queen of New Westminster,2016/12/1,22:45:00,6.05,5.3,94.5,0
Queen of New Westminster,2016/12/2,5:15:00,6.05,5.45,96,0
Coastal Inspiration,2016/12/2,5:15:00,6.05,5.45,96,0
Queen of Surrey,2016/12/2,6:20:00,6.05,5.4,95.5,0
Queen of Coquitlam,2016/12/2,6:30:00,6.05,5.4,95.5,0
Queen of New Westminster,2016/12/2,7:45:00,6,5.3,95,0
Spirit of British Columbia,2016/12/2,7:00:00,6,5.3,95,0
Coastal Inspiration,2016/12/2,7:45:00,6,5.3,95,0
Queen of Oak Bay,2016/12/2,8:30:00,6.5,5.8,95.5,0
Queen of Surrey,2016/12/2,8:20:00,6.5,5.8,95.5,0
Coastal Celebration,2016/12/2,9:00:00,6.85,6.25,96,0
Coastal Inspiration,2016/12/2,10:15:00,7.05,6.5,96,0
Queen of New Westminster,2016/12/2,10:15:00,7.05,6.5,96,0
Queen of Surrey,2016/12/2,10:20:00,7.05,6.5,96,0
Queen of Coquitlam,2016/12/2,10:30:00,7.05,6.5,96,0
Queen of imo,2016/12/2,10:10:00,7.05,6.5,96,0
Spirit of British Columbia,2016/12/2,11:00:00,7.45,6.8,96,0
Coastal Inspiration,2016/12/2,12:45:00,7.65,7.05,96.5,0
Queen of Oak Bay,2016/12/2,12:30:00,7.65,7.05,96.5,1
Queen of New Westminster,2016/12/2,12:45:00,7.65,7.05,96.5,0
Queen of Surrey,2016/12/2,12:20:00,7.65,7.05,96.5,0
Coastal Celebration,2016/12/2,13:00:00,7.65,7.2,97,1
Queen of Surrey,2016/12/2,14:30:00,7.7,7.3,97,0
Spirit of Vancouver Island,2016/12/2,14:00:00,7.7,7.3,97,0
Spirit of British Columbia,2016/12/2,15:00:00,8.05,7.6,97,0
Queen of Coquitlam,2016/12/2,15:00:00,8.05,7.6,97,0
Queen of New Westminster,2016/12/2,15:15:00,8.05,7.6,97,1
Coastal Inspiration,2016/12/2,15:15:00,8.05,7.6,97,0
Queen of Surrey,2016/12/2,16:30:00,8.3,7.6,95.5,0
Queen of New Westminster,2016/12/2,17:45:00,8.45,7.6,94.5,1
Coastal Celebration,2016/12/2,17:00:00,8.45,7.6,94.5,0
Coastal Inspiration,2016/12/2,17:45:00,8.45,7.6,94.5,0
Queen of Oak Bay,2016/12/2,17:00:00,8.45,7.6,94.5,1
Spirit of Vancouver Island,2016/12/2,18:00:00,8.2,7.45,95,0
Queen of Surrey,2016/12/2,18:30:00,8.2,7.45,95,0
Spirit of British Columbia,2016/12/2,19:00:00,7.2,6.55,95.5,0
Queen of Coquitlam,2016/12/2,19:00:00,7.2,6.55,95.5,1
Queen of imo,2016/12/2,19:20:00,7.2,6.55,95.5,1
Queen of New Westminster,2016/12/2,20:15:00,6.6,6.1,96.5,0
Coastal Inspiration,2016/12/2,20:15:00,6.6,6.1,96.5,0
Queen of Surrey,2016/12/2,20:20:00,6.6,6.1,96.5,0
Coastal Celebration,2016/12/2,21:00:00,6.15,5.75,97,0
Queen of Oak Bay,2016/12/2,21:00:00,6.15,5.75,97,1
Queen of New Westminster,2016/12/2,22:45:00,6.2,5.85,97.5,0
Coastal Inspiration,2016/12/2,22:45:00,6.2,5.85,97.5,0
Queen of New Westminster,2016/12/3,5:15:00,5.6,5.25,98,0
Coastal Inspiration,2016/12/3,5:15:00,5.6,5.25,98,0
Queen of Surrey,2016/12/3,6:20:00,5.5,5.2,98,0
Queen of Coquitlam,2016/12/3,6:30:00,5.5,5.2,98,0
Coastal Inspiration,2016/12/3,7:45:00,5.5,5.2,98,0
Queen of New Westminster,2016/12/3,7:45:00,5.5,5.2,98,0
Spirit of British Columbia,2016/12/3,7:00:00,5.5,5.2,98,0
Queen of Surrey,2016/12/3,8:20:00,5.5,5.2,98,0
Queen of Oak Bay,2016/12/3,8:30:00,5.5,5.2,98,0
Queen of imo,2016/12/3,8:35:00,5.5,5.2,98,0
Coastal Celebration,2016/12/3,9:00:00,5.9,5.6,98,0
Queen of Coquitlam,2016/12/3,10:30:00,6.7,6.3,97.5,0
Queen of Surrey,2016/12/3,10:20:00,6.7,6.3,97.5,1
Queen of New Westminster,2016/12/3,10:15:00,6.7,6.3,97.5,0
Coastal Inspiration,2016/12/3,10:15:00,6.7,6.3,97.5,0
Spirit of British Columbia,2016/12/3,11:00:00,7.4,6.6,94.5,0
Queen of Oak Bay,2016/12/3,12:30:00,7.75,6.55,92,0
Queen of Surrey,2016/12/3,12:20:00,7.75,6.55,92,0
Queen of imo,2016/12/3,12:15:00,7.75,6.55,92,0
Coastal Inspiration,2016/12/3,12:45:00,7.75,6.55,92,0
Queen of New Westminster,2016/12/3,12:45:00,7.75,6.55,92,0
Coastal Celebration,2016/12/3,13:00:00,7.85,6.25,89.5,0
Queen of Surrey,2016/12/3,14:30:00,7.75,6.1,88.5,0
Coastal Inspiration,2016/12/3,15:15:00,7.45,6.3,92,0
Spirit of British Columbia,2016/12/3,15:00:00,7.45,6.3,92,0
Queen of New Westminster,2016/12/3,15:15:00,7.45,6.3,92,0
Queen of Coquitlam,2016/12/3,15:00:00,7.45,6.3,92,0
Queen of Surrey,2016/12/3,16:30:00,7,6.25,95,0
Queen of Oak Bay,2016/12/3,17:00:00,6.8,6.25,96.5,0
Coastal Inspiration,2016/12/3,17:45:00,6.8,6.25,96.5,0
Coastal Celebration,2016/12/3,17:00:00,6.8,6.25,96.5,0
Queen of New Westminster,2016/12/3,17:45:00,6.8,6.25,96.5,0
Queen of Surrey,2016/12/3,18:30:00,6.5,6,96.5,1
Queen of Coquitlam,2016/12/3,19:00:00,6.15,5.65,96.5,0
Spirit of British Columbia,2016/12/3,19:00:00,6.15,5.65,96.5,0
Queen of Surrey,2016/12/3,20:20:00,6.2,5.7,97,1
Queen of imo,2016/12/3,20:45:00,6.2,5.7,97,0
Queen of Oak Bay,2016/12/3,21:00:00,6,5.4,96,0
Coastal Celebration,2016/12/3,21:00:00,6,5.4,96,0
Queen of Coquitlam,2016/12/4,6:30:00,5.3,0.1,69.5,0
Queen of Surrey,2016/12/4,6:20:00,5.3,0.1,69.5,0
Spirit of British Columbia,2016/12/4,7:00:00,4.8,-0.85,67,0
Queen of Oak Bay,2016/12/4,8:30:00,4.7,-1.2,65.5,0
Queen of Surrey,2016/12/4,8:20:00,4.7,-1.2,65.5,0
Coastal Celebration,2016/12/4,9:00:00,5.1,-0.9,65,0
Queen of New Westminster,2016/12/4,10:15:00,5.7,-0.65,63.5,1
Queen of Surrey,2016/12/4,10:20:00,5.7,-0.65,63.5,0
Queen of Coquitlam,2016/12/4,10:30:00,5.7,-0.65,63.5,1
Coastal Inspiration,2016/12/4,10:15:00,5.7,-0.65,63.5,1
Queen of imo,2016/12/4,11:10:00,6.25,-0.25,63,1
Spirit of British Columbia,2016/12/4,11:00:00,6.25,-0.25,63,1
Queen of Oak Bay,2016/12/4,12:30:00,6.55,-0.05,63,1
Coastal Inspiration,2016/12/4,12:45:00,6.55,-0.05,63,1
Queen of Surrey,2016/12/4,12:20:00,6.55,-0.05,63,0
Queen of New Westminster,2016/12/4,12:45:00,6.55,-0.05,63,1
Coastal Celebration,2016/12/4,13:00:00,6.45,-0.15,63,1
Queen of Surrey,2016/12/4,14:30:00,6.5,-0.65,60.5,0
Spirit of Vancouver Island,2016/12/4,14:00:00,6.5,-0.65,60.5,1
Coastal Inspiration,2016/12/4,15:15:00,5.9,-0.25,65.5,0
Spirit of British Columbia,2016/12/4,15:00:00,5.9,-0.25,65.5,0
Queen of New Westminster,2016/12/4,15:15:00,5.9,-0.25,65.5,0
Queen of Coquitlam,2016/12/4,15:00:00,5.9,-0.25,65.5,1
Queen of Surrey,2016/12/4,16:30:00,4.6,0.65,75.5,0
Coastal Inspiration,2016/12/4,17:45:00,3.95,0.4,77.5,1
Queen of New Westminster,2016/12/4,17:45:00,3.95,0.4,77.5,1
Queen of Oak Bay,2016/12/4,17:00:00,3.95,0.4,77.5,1
Coastal Celebration,2016/12/4,17:00:00,3.95,0.4,77.5,0
Queen of Surrey,2016/12/4,18:30:00,3.4,0.3,80,0
Spirit of Vancouver Island,2016/12/4,18:00:00,3.4,0.3,80,1
Queen of imo,2016/12/4,18:40:00,3.4,0.3,80,0
Queen of Coquitlam,2016/12/4,19:00:00,3.2,0.15,80.5,1
Spirit of British Columbia,2016/12/4,19:00:00,3.2,0.15,80.5,1
Queen of Surrey,2016/12/4,20:20:00,3.15,0.3,82,0
Coastal Inspiration,2016/12/4,20:15:00,3.15,0.3,82,1
Queen of New Westminster,2016/12/4,20:15:00,3.15,0.3,82,0
Queen of Oak Bay,2016/12/4,21:00:00,2.85,0.2,83,1
Coastal Celebration,2016/12/4,21:00:00,2.85,0.2,83,0
Spirit of Vancouver Island,2016/12/4,21:45:00,2.85,0.2,83,1
Queen of imo,2016/12/4,21:35:00,2.85,0.2,83,0
Coastal Inspiration,2016/12/4,22:45:00,2.85,0.5,84.5,0
Queen of New Westminster,2016/12/4,22:45:00,2.85,0.5,84.5,0
Queen of New Westminster,2016/12/5,5:15:00,2.2,1.45,95,0
Coastal Inspiration,2016/12/5,5:15:00,2.2,1.45,95,0
Queen of Surrey,2016/12/5,6:20:00,1.75,1.3,96.5,0
Queen of Coquitlam,2016/12/5,6:30:00,1.75,1.3,96.5,0
Queen of New Westminster,2016/12/5,7:45:00,2.1,1.7,97,0
Spirit of British Columbia,2016/12/5,7:00:00,2.1,1.7,97,0
Coastal Inspiration,2016/12/5,7:45:00,2.1,1.7,97,0
Queen of Surrey,2016/12/5,8:20:00,2.75,2.25,96.5,1
Queen of Oak Bay,2016/12/5,8:30:00,2.75,2.25,96.5,0
Coastal Celebration,2016/12/5,9:00:00,3.2,2.55,95.5,0
Coastal Inspiration,2016/12/5,10:15:00,3.05,2.2,94,0
Queen of Surrey,2016/12/5,10:20:00,3.05,2.2,94,1
Queen of Coquitlam,2016/12/5,10:30:00,3.05,2.2,94,0
Queen of New Westminster,2016/12/5,10:15:00,3.05,2.2,94,0
Queen of imo,2016/12/5,10:10:00,3.05,2.2,94,0
Spirit of British Columbia,2016/12/5,11:00:00,2.75,1.95,94.5,0
Queen of New Westminster,2016/12/5,12:45:00,1.95,1.45,96.5,0
Coastal Inspiration,2016/12/5,12:45:00,1.95,1.45,96.5,0
Queen of Surrey,2016/12/5,12:20:00,1.95,1.45,96.5,1
Queen of Oak Bay,2016/12/5,12:30:00,1.95,1.45,96.5,1
Coastal Celebration,2016/12/5,13:00:00,1.75,1.3,97,0
Queen of Surrey,2016/12/5,14:30:00,1.75,1.3,97,1
Queen of Coquitlam,2016/12/5,15:00:00,1.45,1.05,97,0
Spirit of British Columbia,2016/12/5,15:00:00,1.45,1.05,97,0
Queen of New Westminster,2016/12/5,15:15:00,1.45,1.05,97,0
Coastal Inspiration,2016/12/5,15:15:00,1.45,1.05,97,0
Queen of Surrey,2016/12/5,16:30:00,1.9,1.45,97,1
Coastal Celebration,2016/12/5,17:00:00,2.15,1.65,97,0
Coastal Inspiration,2016/12/5,17:45:00,2.15,1.65,97,0
Queen of New Westminster,2016/12/5,17:45:00,2.15,1.65,97,0
Queen of Oak Bay,2016/12/5,17:00:00,2.15,1.65,97,0
Queen of Surrey,2016/12/5,18:30:00,2.35,1.85,97,1
Queen of imo,2016/12/5,19:20:00,2.55,1.95,96,0
Spirit of British Columbia,2016/12/5,19:00:00,2.55,1.95,96,0
Queen of Surrey,2016/12/5,20:20:00,2.35,1.65,95,1
Coastal Inspiration,2016/12/5,20:15:00,2.35,1.65,95,0
Queen of New Westminster,2016/12/5,20:15:00,2.35,1.65,95,0
Coastal Celebration,2016/12/5,21:00:00,1.95,1.3,95.5,0
Queen of Oak Bay,2016/12/5,21:00:00,1.95,1.3,95.5,0
Coastal Inspiration,2016/12/5,22:45:00,2.15,1.4,95,0
Queen of New Westminster,2016/12/5,22:45:00,2.15,1.4,95,0
Queen of New Westminster,2016/12/6,5:15:00,1.35,-2.9,73.5,0
Coastal Inspiration,2016/12/6,5:15:00,1.35,-2.9,73.5,0
Queen of Surrey,2016/12/6,6:20:00,1.05,-4,69,0
Queen of Coquitlam,2016/12/6,6:30:00,1.05,-4,69,0
Coastal Inspiration,2016/12/6,7:45:00,0.75,-4.1,70,0
Queen of New Westminster,2016/12/6,7:45:00,0.75,-4.1,70,0
Spirit of British Columbia,2016/12/6,7:00:00,0.75,-4.1,70,0
Queen of Surrey,2016/12/6,8:20:00,1.45,-3.8,68.5,0
Queen of Oak Bay,2016/12/6,8:30:00,1.45,-3.8,68.5,0
Coastal Celebration,2016/12/6,9:00:00,2.8,-3.15,65.5,0
Coastal Inspiration,2016/12/6,10:15:00,3.25,-2.8,65,0
Queen of imo,2016/12/6,10:10:00,3.25,-2.8,65,0
Queen of Surrey,2016/12/6,10:20:00,3.25,-2.8,65,0
Queen of New Westminster,2016/12/6,10:15:00,3.25,-2.8,65,0
Queen of Coquitlam,2016/12/6,10:30:00,3.25,-2.8,65,0
Spirit of British Columbia,2016/12/6,11:00:00,3.8,-2.95,61.5,0
Queen of Oak Bay,2016/12/6,12:30:00,3.75,-3.05,61,1
Queen of New Westminster,2016/12/6,12:45:00,3.75,-3.05,61,0
