vessel_name,full_date,scheduled_departure,avg_temperature,avg_dew_point_temperature,avg_relative_humidity,avg_wind_direction,avg_wind_speed,avg_visibility,avg_station_pressure,delay_indicator
Spirit of British Columbia,2016/11/29,17:00:00,9,6.2,82.5,125,14,24.1,101.415,0
Queen of Cumberland,2016/11/29,18:30:00,9.05,6,81,125,12,24.1,101.265,0
Skee Queen,2016/11/29,19:00:00,8.85,6,82,110,13.5,24.1,101.1,0
Coastal Celebration,2016/11/29,19:00:00,8.85,6,82,110,13.5,24.1,101.1,0
Mayne Queen,2016/11/29,19:40:00,8.85,6,82,110,13.5,24.1,101.1,0
Spirit of British Columbia,2016/11/29,21:00:00,7.8,6,88,290,11,24.1,101.01,0
Skee Queen,2016/11/29,21:00:00,7.8,6,88,290,11,24.1,101.01,0
Queen of Cumberland,2016/11/30,5:20:00,8.5,5.8,83,170,21,9.7,100.78,0
Mayne Queen,2016/11/30,5:10:00,8.5,5.8,83,170,21,9.7,100.78,0
Coastal Celebration,2016/11/30,7:00:00,9.2,6.1,81,200,35.5,10.45,100.765,0
Skee Queen,2016/11/30,7:00:00,9.2,6.1,81,200,35.5,10.45,100.765,0
Queen of Cumberland,2016/11/30,8:30:00,9.2,6.9,85.5,230,42,7.25,100.83,0
Mayne Queen,2016/11/30,9:10:00,9.25,6.35,82,245,32.5,12.9,100.95,0
Spirit of British Columbia,2016/11/30,9:00:00,9.25,6.35,82,245,32.5,12.9,100.95,0
Skee Queen,2016/11/30,9:00:00,9.25,6.35,82,245,32.5,12.9,100.95,0
Queen of Cumberland,2016/11/30,10:25:00,9.65,5.25,74,255,31,20.1,101.06,0
Coastal Celebration,2016/11/30,11:00:00,10.15,4.75,69,260,28,24.1,101.16,0
Skee Queen,2016/11/30,11:00:00,10.15,4.75,69,260,28,24.1,101.16,0
Spirit of British Columbia,2016/11/30,13:00:00,10.05,5.15,71.5,290,13,17.7,101.41,0
Skee Queen,2016/11/30,13:00:00,10.05,5.15,71.5,290,13,17.7,101.41,0
Mayne Queen,2016/11/30,14:50:00,10.15,5.05,70.5,270,12.5,21.7,101.48,0
Queen of Cumberland,2016/11/30,14:15:00,10.15,5.05,70.5,270,12.5,21.7,101.48,0
Coastal Celebration,2016/11/30,15:00:00,10.3,5.1,70,250,17.5,24.1,101.535,0
Skee Queen,2016/11/30,15:00:00,10.3,5.1,70,250,17.5,24.1,101.535,0
Queen of Cumberland,2016/11/30,16:15:00,9.95,4.85,70.5,260,21,24.1,101.605,0
Skee Queen,2016/11/30,17:00:00,9.65,4.75,71.5,260,21,24.1,101.68,0
Spirit of British Columbia,2016/11/30,17:00:00,9.65,4.75,71.5,260,21,24.1,101.68,0
Queen of Cumberland,2016/11/30,18:30:00,9.4,4.2,70,260,24.5,24.1,101.745,0
Mayne Queen,2016/11/30,19:40:00,9.2,3.6,68,260,24,24.1,101.8,0
Skee Queen,2016/11/30,19:00:00,9.2,3.6,68,260,24,24.1,101.8,0
Coastal Celebration,2016/11/30,19:00:00,9.2,3.6,68,260,24,24.1,101.8,0
Skee Queen,2016/11/30,21:00:00,8.5,2.5,66,270,8,24.1,101.89,0
Spirit of British Columbia,2016/11/30,21:00:00,8.5,2.5,66,270,8,24.1,101.89,0
Mayne Queen,2016/12/1,5:10:00,1.8,0.8,93,360,1,24.1,102.25,0
Queen of Cumberland,2016/12/1,5:20:00,1.8,0.8,93,360,1,24.1,102.25,0
Coastal Celebration,2016/12/1,7:00:00,1.95,0.85,92.5,345,3.5,24.1,102.34,0
Skee Queen,2016/12/1,7:00:00,1.95,0.85,92.5,345,3.5,24.1,102.34,0
Queen of Cumberland,2016/12/1,8:30:00,2.2,1.2,93,195,3,24.1,102.38,0
Spirit of British Columbia,2016/12/1,9:00:00,3.3,2.05,91.5,185,4,24.1,102.415,0
Skee Queen,2016/12/1,9:00:00,3.3,2.05,91.5,185,4,24.1,102.415,0
Mayne Queen,2016/12/1,9:10:00,3.3,2.05,91.5,185,4,24.1,102.415,0
Queen of Cumberland,2016/12/1,10:25:00,4.5,2.85,89,340,5,24.1,102.46,0
Skee Queen,2016/12/1,11:00:00,5.6,3.7,87.5,345,4.5,24.1,102.485,0
Coastal Celebration,2016/12/1,11:00:00,5.6,3.7,87.5,345,4.5,24.1,102.485,0
Spirit of British Columbia,2016/12/1,13:00:00,7.3,5.15,86,235,4,14.5,102.515,0
Skee Queen,2016/12/1,13:00:00,7.3,5.15,86,235,4,14.5,102.515,0
Queen of Cumberland,2016/12/1,14:15:00,7.7,5.7,87,125,5.5,20.1,102.53,0
Mayne Queen,2016/12/1,14:50:00,7.7,5.7,87,125,5.5,20.1,102.53,0
Coastal Celebration,2016/12/1,15:00:00,8,5.75,85.5,120,6,20.1,102.56,0
Skee Queen,2016/12/1,15:00:00,8,5.75,85.5,120,6,20.1,102.56,0
Queen of Cumberland,2016/12/1,16:15:00,8,5.4,83.5,90,6,16.1,102.585,0
Spirit of Vancouver Island,2016/12/1,16:00:00,8,5.4,83.5,90,6,16.1,102.585,0
Spirit of British Columbia,2016/12/1,17:00:00,8.1,4.95,80.5,100,8,20.1,102.605,0
Skee Queen,2016/12/1,17:00:00,8.1,4.95,80.5,100,8,20.1,102.605,0
Queen of Cumberland,2016/12/1,18:30:00,8.1,5.05,81,125,12.5,24.1,102.615,0
Mayne Queen,2016/12/1,19:40:00,8.05,4.9,80.5,125,14.5,24.1,102.61,0
Skee Queen,2016/12/1,19:00:00,8.05,4.9,80.5,125,14.5,24.1,102.61,0
Coastal Celebration,2016/12/1,19:00:00,8.05,4.9,80.5,125,14.5,24.1,102.61,0
Skee Queen,2016/12/1,21:00:00,7.9,4.7,80,110,18,24.1,102.58,0
Spirit of British Columbia,2016/12/1,21:00:00,7.9,4.7,80,110,18,24.1,102.58,0
Mayne Queen,2016/12/2,5:10:00,8.2,6.7,90,120,9,24.1,102.33,0
Queen of Cumberland,2016/12/2,5:20:00,8.2,6.7,90,120,9,24.1,102.33,0
Coastal Celebration,2016/12/2,7:00:00,8.2,6.6,89.5,245,4.5,21.7,102.26,0
Skee Queen,2016/12/2,7:00:00,8.2,6.6,89.5,245,4.5,21.7,102.26,0
Queen of Cumberland,2016/12/2,8:30:00,8.2,6.6,89.5,230,4.5,20.1,102.175,0
Mayne Queen,2016/12/2,9:10:00,8.35,6.6,88.5,230,6,20.1,102.075,0
Spirit of British Columbia,2016/12/2,9:00:00,8.35,6.6,88.5,230,6,20.1,102.075,0
Skee Queen,2016/12/2,9:00:00,8.35,6.6,88.5,230,6,20.1,102.075,0
Queen of Cumberland,2016/12/2,10:25:00,8.6,5.9,83,235,6,24.1,101.985,0
Coastal Celebration,2016/12/2,11:00:00,8.9,5.75,80.5,115,7,24.1,101.855,1
Skee Queen,2016/12/2,11:00:00,8.9,5.75,80.5,115,7,24.1,101.855,0
Spirit of Vancouver Island,2016/12/2,12:00:00,9.2,6.3,82,115,8.5,24.1,101.74,0
Spirit of British Columbia,2016/12/2,13:00:00,9.3,6.4,82,185,6.5,24.1,101.67,0
Skee Queen,2016/12/2,13:00:00,9.3,6.4,82,185,6.5,24.1,101.67,0
Mayne Queen,2016/12/2,14:50:00,8.85,6.8,87,210,4,15.25,101.695,0
Queen of Cumberland,2016/12/2,14:15:00,8.85,6.8,87,210,4,15.25,101.695,0
Skee Queen,2016/12/2,15:00:00,9.4,7.15,86,205,11.5,11.25,101.73,0
Coastal Celebration,2016/12/2,15:00:00,9.4,7.15,86,205,11.5,11.25,101.73,1
Queen of Cumberland,2016/12/2,16:15:00,10.2,6.9,80,250,21.5,16.1,101.725,0
Spirit of Vancouver Island,2016/12/2,16:00:00,10.2,6.9,80,250,21.5,16.1,101.725,0
Spirit of British Columbia,2016/12/2,17:00:00,10.2,6.65,78.5,255,26.5,16.1,101.745,0
Skee Queen,2016/12/2,17:00:00,10.2,6.65,78.5,255,26.5,16.1,101.745,0
Queen of Cumberland,2016/12/2,18:30:00,10.15,6.45,77.5,260,24,16.1,101.81,0
Skee Queen,2016/12/2,19:00:00,9.7,6.2,78.5,250,22,16.1,101.88,0
Mayne Queen,2016/12/2,19:40:00,9.7,6.2,78.5,250,22,16.1,101.88,0
Coastal Celebration,2016/12/2,19:00:00,9.7,6.2,78.5,250,22,16.1,101.88,0
Skee Queen,2016/12/2,21:00:00,9,5.8,80,260,26,16.1,101.96,0
Spirit of British Columbia,2016/12/2,21:00:00,9,5.8,80,260,26,16.1,101.96,0
Mayne Queen,2016/12/3,5:40:00,8.1,5.6,84,240,20,24.1,102.33,0
Queen of Cumberland,2016/12/3,5:50:00,8.1,5.6,84,240,20,24.1,102.33,0
Skee Queen,2016/12/3,7:00:00,8.1,5.25,82,255,14.5,24.1,102.38,0
Coastal Celebration,2016/12/3,7:00:00,8.1,5.25,82,255,14.5,24.1,102.38,0
Mayne Queen,2016/12/3,8:15:00,8.45,4.85,78,250,17.5,24.1,102.405,0
Skee Queen,2016/12/3,9:00:00,8.6,4.8,77,250,14.5,24.1,102.44,0
Spirit of British Columbia,2016/12/3,9:00:00,8.6,4.8,77,250,14.5,24.1,102.44,0
Queen of Cumberland,2016/12/3,9:35:00,8.6,4.8,77,250,14.5,24.1,102.44,0
Coastal Celebration,2016/12/3,11:00:00,9,5.2,77,240,27,20.1,102.37,1
Skee Queen,2016/12/3,11:00:00,9,5.2,77,240,27,20.1,102.37,0
Spirit of British Columbia,2016/12/3,13:00:00,9.1,5.4,77.5,240,34,24.1,102.28,1
Skee Queen,2016/12/3,13:00:00,9.1,5.4,77.5,240,34,24.1,102.28,0
Queen of Cumberland,2016/12/3,14:30:00,9.15,5.65,78.5,235,27,20.1,102.23,0
Skee Queen,2016/12/3,15:00:00,8.75,5.95,82.5,245,18,16.1,102.145,0
Coastal Celebration,2016/12/3,15:00:00,8.75,5.95,82.5,245,18,16.1,102.145,0
Mayne Queen,2016/12/3,16:00:00,8,5.95,87,255,14,14.5,102.085,0
Spirit of British Columbia,2016/12/3,17:00:00,7.95,6.25,89,235,14.5,10.5,102.015,0
Skee Queen,2016/12/3,17:00:00,7.95,6.25,89,235,14.5,10.5,102.015,0
Queen of Cumberland,2016/12/3,18:35:00,7.9,6.05,88,220,15.5,8.9,101.93,0
Coastal Celebration,2016/12/3,19:00:00,7.4,5,84.5,235,17.5,12.9,101.875,0
Skee Queen,2016/12/3,19:00:00,7.4,5,84.5,235,17.5,12.9,101.875,0
Mayne Queen,2016/12/3,19:10:00,7.4,5,84.5,235,17.5,12.9,101.875,0
Skee Queen,2016/12/3,21:00:00,6.7,3.9,82,240,18,19.3,101.8,0
Spirit of British Columbia,2016/12/3,21:00:00,6.7,3.9,82,240,18,19.3,101.8,0
Queen of Cumberland,2016/12/4,6:25:00,4.4,1.05,79,355,5.5,24.1,101.575,0
Mayne Queen,2016/12/4,6:00:00,4.4,1.05,79,355,5.5,24.1,101.575,0
Coastal Celebration,2016/12/4,7:00:00,4.05,1.15,81.5,315,8,24.1,101.605,0
Spirit of British Columbia,2016/12/4,9:00:00,5.8,-1.05,61.5,260,13.5,24.1,101.685,0
Skee Queen,2016/12/4,9:00:00,5.8,-1.05,61.5,260,13.5,24.1,101.685,0
Queen of Cumberland,2016/12/4,9:35:00,5.8,-1.05,61.5,260,13.5,24.1,101.685,0
Skee Queen,2016/12/4,11:00:00,6.85,-0.95,57.5,260,17.5,24.1,101.755,0
Coastal Celebration,2016/12/4,11:00:00,6.85,-0.95,57.5,260,17.5,24.1,101.755,1
Spirit of Vancouver Island,2016/12/4,12:00:00,7.35,-2.6,49.5,280,13,24.1,101.775,1
Spirit of British Columbia,2016/12/4,13:00:00,7.35,-4.15,44,285,11.5,24.1,101.785,1
Skee Queen,2016/12/4,13:00:00,7.35,-4.15,44,285,11.5,24.1,101.785,0
Mayne Queen,2016/12/4,14:15:00,7.3,-4.2,44,270,11,24.1,101.805,0
Queen of Cumberland,2016/12/4,14:40:00,7.3,-4.2,44,270,11,24.1,101.805,0
Coastal Celebration,2016/12/4,15:00:00,7.1,-2.5,51,265,10.5,24.1,101.82,1
Skee Queen,2016/12/4,15:00:00,7.1,-2.5,51,265,10.5,24.1,101.82,0
Spirit of Vancouver Island,2016/12/4,16:00:00,6.45,-1.45,57,270,11.5,24.1,101.825,0
Mayne Queen,2016/12/4,17:25:00,5.75,-2.7,54.5,290,10.5,24.1,101.86,0
Skee Queen,2016/12/4,17:00:00,5.75,-2.7,54.5,290,10.5,24.1,101.86,0
Spirit of British Columbia,2016/12/4,17:00:00,5.75,-2.7,54.5,290,10.5,24.1,101.86,1
Queen of Cumberland,2016/12/4,18:25:00,5.35,-2.4,57.5,285,10,24.1,101.885,0
Mayne Queen,2016/12/4,19:10:00,5.35,0.25,70,255,19.5,24.1,101.89,0
Skee Queen,2016/12/4,19:00:00,5.35,0.25,70,255,19.5,24.1,101.89,0
Coastal Celebration,2016/12/4,19:00:00,5.35,0.25,70,255,19.5,24.1,101.89,0
Spirit of Vancouver Island,2016/12/4,20:00:00,5.2,1.8,78.5,250,25,24.1,101.915,0
Spirit of British Columbia,2016/12/4,21:00:00,4.9,1.6,79,260,21,24.1,101.93,1
Skee Queen,2016/12/4,21:00:00,4.9,1.6,79,260,21,24.1,101.93,0
Queen of Cumberland,2016/12/5,5:20:00,4.2,1.7,84,120,16,12.9,101.67,0
Mayne Queen,2016/12/5,5:10:00,4.2,1.7,84,120,16,12.9,101.67,0
Skee Queen,2016/12/5,7:00:00,3.05,1.5,89.5,290,6,20.1,101.665,0
Coastal Celebration,2016/12/5,7:00:00,3.05,1.5,89.5,290,6,20.1,101.665,0
Queen of Cumberland,2016/12/5,8:30:00,3.6,1.55,86.5,235,14,24.1,101.66,0
Spirit of British Columbia,2016/12/5,9:00:00,3.95,1.25,82.5,255,16.5,24.1,101.66,0
Skee Queen,2016/12/5,9:00:00,3.95,1.25,82.5,255,16.5,24.1,101.66,0
Mayne Queen,2016/12/5,9:10:00,3.95,1.25,82.5,255,16.5,24.1,101.66,0
Queen of Cumberland,2016/12/5,10:25:00,4.3,0.65,77,295,16,24.1,101.675,0
Coastal Celebration,2016/12/5,11:00:00,4.95,0.05,70.5,295,14,24.1,101.67,0
Skee Queen,2016/12/5,11:00:00,4.95,0.05,70.5,295,14,24.1,101.67,0
Spirit of British Columbia,2016/12/5,13:00:00,4.9,0.45,73.5,275,13.5,24.1,101.63,0
Skee Queen,2016/12/5,13:00:00,4.9,0.45,73.5,275,13.5,24.1,101.63,0
Queen of Cumberland,2016/12/5,14:15:00,3.8,1.1,82.5,300,15,21.7,101.62,0
Mayne Queen,2016/12/5,14:50:00,3.8,1.1,82.5,300,15,21.7,101.62,0
Coastal Celebration,2016/12/5,15:00:00,3.25,0.9,84.5,335,12.5,19.3,101.595,0
Skee Queen,2016/12/5,15:00:00,3.25,0.9,84.5,335,12.5,19.3,101.595,0
Queen of Cumberland,2016/12/5,16:15:00,3,1,86.5,350,6,21.7,101.595,0
Spirit of British Columbia,2016/12/5,17:00:00,3.2,1.25,87,220,4,24.1,101.61,0
Skee Queen,2016/12/5,17:00:00,3.2,1.25,87,220,4,24.1,101.61,0
Queen of Cumberland,2016/12/5,18:30:00,3.3,1.5,88,150,7.5,18.5,101.625,0
Skee Queen,2016/12/5,19:00:00,3.15,0.95,85.5,250,12.5,16.1,101.635,0
Mayne Queen,2016/12/5,19:40:00,3.15,0.95,85.5,250,12.5,16.1,101.635,0
Coastal Celebration,2016/12/5,19:00:00,3.15,0.95,85.5,250,12.5,16.1,101.635,0
Spirit of British Columbia,2016/12/5,21:00:00,2,0.4,89,40,12,4.8,101.69,0
Skee Queen,2016/12/5,21:00:00,2,0.4,89,40,12,4.8,101.69,0
Queen of Cumberland,2016/12/6,5:20:00,2,-1.6,77,340,11,24.1,102.01,0
Mayne Queen,2016/12/6,5:10:00,2,-1.6,77,340,11,24.1,102.01,0
Coastal Celebration,2016/12/6,7:00:00,1.8,-1.35,79.5,345,9.5,24.1,102.09,0
Skee Queen,2016/12/6,7:00:00,1.8,-1.35,79.5,345,9.5,24.1,102.09,0
Queen of Cumberland,2016/12/6,8:30:00,2.2,-4.1,65,195,8.5,24.1,102.155,0
Mayne Queen,2016/12/6,9:10:00,2.85,-7.4,47,40,8,24.1,102.235,0
Skee Queen,2016/12/6,9:00:00,2.85,-7.4,47,40,8,24.1,102.235,0
Spirit of British Columbia,2016/12/6,9:00:00,2.85,-7.4,47,40,8,24.1,102.235,0
Queen of Cumberland,2016/12/6,10:25:00,2.95,-7.85,45,40,13,24.1,102.305,0
Coastal Celebration,2016/12/6,11:00:00,3.05,-7.75,45,35,15.5,24.1,102.345,0
Skee Queen,2016/12/6,11:00:00,3.05,-7.75,45,35,15.5,24.1,102.345,0
Spirit of British Columbia,2016/12/6,13:00:00,3.55,-8.4,41.5,20,12,24.1,102.415,0
Skee Queen,2016/12/6,13:00:00,3.55,-8.4,41.5,20,12,24.1,102.415,0
Queen of Cumberland,2016/12/6,14:15:00,3.4,-8.2,42.5,40,10,24.1,102.46,0
Mayne Queen,2016/12/6,14:50:00,3.4,-8.2,42.5,40,10,24.1,102.46,0
Coastal Celebration,2016/12/6,15:00:00,3.15,-7.65,45,45,9,24.1,102.525,0
Skee Queen,2016/12/6,15:00:00,3.15,-7.65,45,45,9,24.1,102.525,0
Queen of Cumberland,2016/12/6,16:15:00,3,-7.65,45.5,35,7.5,24.1,102.585,0
Skee Queen,2016/12/6,17:00:00,2.7,-8.25,44.5,40,10,24.1,102.635,0
Spirit of British Columbia,2016/12/6,17:00:00,2.7,-8.25,44.5,40,10,24.1,102.635,0
Queen of Cumberland,2016/12/6,18:30:00,2.25,-8.8,44,65,14,24.1,102.68,0
Skee Queen,2016/12/6,19:00:00,1.85,-9.3,43.5,70,11.5,24.1,102.725,0
Mayne Queen,2016/12/6,19:40:00,1.85,-9.3,43.5,70,11.5,24.1,102.725,0
Coastal Celebration,2016/12/6,19:00:00,1.85,-9.3,43.5,70,11.5,24.1,102.725,0
Skee Queen,2016/12/6,21:00:00,1.4,-9.3,45,30,10,24.1,102.81,0
Spirit of British Columbia,2016/12/6,21:00:00,1.4,-9.3,45,30,10,24.1,102.81,0
Mayne Queen,2016/12/7,5:10:00,-1.4,-11.9,45,30,13,24.1,103.21,0
Queen of Cumberland,2016/12/7,5:20:00,-1.4,-11.9,45,30,13,24.1,103.21,0
Skee Queen,2016/12/7,7:00:00,-1.6,-9.85,53.5,30,11,24.1,103.185,0
Coastal Celebration,2016/12/7,7:00:00,-1.6,-9.85,53.5,30,11,24.1,103.185,0
Queen of Cumberland,2016/12/7,8:30:00,-1.2,-8.9,56,20,8.5,24.1,103.19,0
Spirit of British Columbia,2016/12/7,9:00:00,-0.3,-8.2,55.5,25,7,24.1,103.205,0
